ImageId,Label
1,9
2,1
3,3
4,6
5,6
6,6
7,7
8,0
9,6
10,5
11,4
12,3
13,7
14,2
15,6
16,6
17,2
18,9
19,1
20,8
21,8
22,7
23,5
24,5
25,5
26,3
27,0
28,0
29,4
30,6
31,0
32,5
33,9
34,3
35,6
36,8
37,0
38,4
39,2
40,4
41,0
42,2
43,5
44,6
45,4
46,6
47,5
48,1
49,7
50,9
51,1
52,7
53,8
54,5
55,0
56,6
57,3
58,9
59,7
60,1
61,2
62,0
63,4
64,7
65,0
66,6
67,6
68,1
69,4
70,6
71,8
72,4
73,3
74,2
75,6
76,7
77,2
78,1
79,8
80,9
81,9
82,9
83,8
84,6
85,9
86,5
87,0
88,8
89,0
90,6
91,3
92,4
93,4
94,9
95,3
96,9
97,9
98,4
99,6
100,9
101,8
102,0
103,6
104,4
105,6
106,6
107,9
108,7
109,4
110,5
111,1
112,3
113,9
114,0
115,2
116,7
117,8
118,0
119,8
120,9
121,0
122,7
123,1
124,1
125,1
126,2
127,6
128,7
129,1
130,5
131,9
132,5
133,7
134,0
135,8
136,7
137,6
138,6
139,7
140,8
141,4
142,4
143,7
144,0
145,1
146,4
147,3
148,6
149,0
150,4
151,8
152,7
153,2
154,4
155,9
156,5
157,0
158,1
159,1
160,7
161,0
162,6
163,1
164,3
165,0
166,7
167,5
168,8
169,5
170,7
171,5
172,6
173,0
174,4
175,8
176,3
177,2
178,2
179,1
180,8
181,1
182,3
183,0
184,9
185,7
186,9
187,1
188,3
189,8
190,1
191,7
192,2
193,8
194,6
195,5
196,3
197,1
198,7
199,3
200,1
201,6
202,9
203,6
204,5
205,8
206,4
207,6
208,3
209,7
210,7
211,3
212,1
213,0
214,2
215,6
216,3
217,7
218,5
219,3
220,7
221,7
222,5
223,6
224,0
225,1
226,3
227,2
228,0
229,4
230,0
231,0
232,1
233,1
234,4
235,8
236,0
237,4
238,1
239,0
240,2
241,1
242,3
243,5
244,1
245,6
246,0
247,2
248,8
249,5
250,2
251,6
252,7
253,5
254,0
255,1
256,6
257,5
258,5
259,5
260,3
261,2
262,7
263,6
264,4
265,6
266,0
267,3
268,8
269,7
270,0
271,8
272,8
273,7
274,1
275,2
276,2
277,1
278,5
279,3
280,5
281,1
282,6
283,0
284,8
285,5
286,5
287,6
288,2
289,7
290,6
291,8
292,1
293,1
294,5
295,0
296,6
297,0
298,2
299,0
300,3
301,4
302,6
303,7
304,9
305,8
306,1
307,1
308,1
309,2
310,7
311,2
312,0
313,6
314,3
315,2
316,7
317,9
318,3
319,6
320,0
321,9
322,8
323,2
324,9
325,2
326,3
327,2
328,6
329,3
330,8
331,4
332,9
333,9
334,1
335,1
336,0
337,6
338,9
339,5
340,8
341,0
342,3
343,8
344,3
345,2
346,6
347,7
348,4
349,3
350,6
351,8
352,6
353,1
354,3
355,6
356,7
357,5
358,9
359,6
360,2
361,4
362,1
363,1
364,4
365,4
366,9
367,2
368,5
369,4
370,8
371,7
372,0
373,5
374,7
375,9
376,5
377,3
378,6
379,4
380,2
381,6
382,7
383,4
384,8
385,1
386,8
387,6
388,0
389,6
390,0
391,2
392,1
393,2
394,4
395,2
396,0
397,5
398,9
399,7
400,5
401,2
402,0
403,7
404,7
405,1
406,5
407,1
408,2
409,5
410,0
411,0
412,0
413,8
414,2
415,3
416,4
417,6
418,7
419,2
420,1
421,7
422,5
423,5
424,6
425,9
426,2
427,2
428,2
429,5
430,0
431,9
432,6
433,3
434,9
435,5
436,1
437,8
438,4
439,0
440,3
441,2
442,1
443,1
444,6
445,8
446,7
447,2
448,8
449,6
450,7
451,2
452,7
453,4
454,0
455,4
456,8
457,3
458,0
459,3
460,4
